Postsynaptic_ID	c_i
720575940616878238	0.5676
720575940616887611	0.0980
720575940616887966	0.2537
720575940616902374	0.4412
720575940616902630	0.6559
720575940616910310	0.3750
720575940616910822	0.1837
720575940616911262	0.3953
720575940616913822	0.9219
720575940616915686	0.5556
720575940616924902	0.0000
720575940616929766	0.8000
720575940616930629	0.7000
720575940616955229	0.0000
720575940616964766	0.7231
720575940617010240	1.0000
720575940617010900	0.0000
720575940617021441	0.1842
720575940617024769	1.0000
720575940617026305	0.4100
720575940617034753	0.5000
720575940617035521	0.4273
720575940617036352	0.3333
720575940617036729	1.0000
720575940617038337	0.8537
720575940617038849	1.0000
720575940617043713	0.3235
720575940617071321	0.2714
720575940617077405	0.6571
720575940617079257	0.6702
720575940617090082	0.1183
720575940617093533	0.5000
720575940617112123	0.5942
720575940617118016	0.4815
720575940617137881	1.0000
720575940617165661	0.2000
720575940617166749	0.6494
720575940617168345	0.3684
720575940617172573	0.5833
720575940617174365	0.1505
720575940617176413	0.5410
720575940617178717	0.3239
720575940617201113	0.3651
720575940617221403	1.0000
720575940617225083	0.2687
720575940617228315	0.4569
720575940617238457	0.6071
720575940617249108	0.5224
720575940617249364	0.6774
720575940617249629	0.5614
720575940617266833	0.0000
720575940617293201	1.0000
720575940617293396	0.4051
720575940617313846	0.2717
720575940617317305	0.2048
720575940617321243	0.7895
720575940617324433	0.6593
720575940617328477	0.4206
720575940617334228	0.5447
720575940617334430	0.7835
720575940617341597	0.6220
720575940617351057	0.0111
720575940617363156	0.4886
720575940617365021	0.3200
720575940617366969	0.2118
720575940617368532	0.2308
720575940617369017	0.3077
720575940617370324	0.6618
720575940617370909	0.3647
720575940617372957	0.7204
720575940617374262	0.5155
720575940617376980	0.0000
720575940617380241	0.8551
720575940617386708	0.7419
720575940617390036	0.5795
